pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
         607076 function calls (593376 primitive calls) in 8.885 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    868/1    0.004    0.000    8.887    8.887 {built-in method builtins.exec}
        1    0.064    0.064    8.887    8.887 PyGL.py:1(<module>)
     4220    0.008    0.000    3.101    0.001 latebind.py:35(__call__)
      100    0.014    0.000    3.062    0.031 simulator.py:92(simulate)
      100    0.109    0.001    3.027    0.030 simulator.py:59(_simulateStep)
      114    2.792    0.024    2.841    0.025 wrapper.py:665(wrapperCall)
      100    0.001    0.000    2.780    0.028 model.py:90(updateGeometry)
      100    2.649    0.026    2.772    0.028 model.py:76(_updateSV)
       49    0.004    0.000    1.413    0.029 __init__.py:1(<module>)
      100    0.012    0.000    0.957    0.010 renderer.py:167(render)
   646/14    0.006    0.000    0.944    0.067 <frozen importlib._bootstrap>:986(_find_and_load)
   646/14    0.003    0.000    0.943    0.067 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
   629/16    0.003    0.000    0.936    0.058 <frozen importlib._bootstrap>:650(_load_unlocked)
   514/16    0.002    0.000    0.935    0.058 <frozen importlib._bootstrap_external>:777(exec_module)
   882/16    0.001    0.000    0.926    0.058 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
1803/1203    0.779    0.000    0.863    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
      402    0.001    0.000    0.755    0.002 <__array_function__ internals>:2(concatenate)
   459/93    0.001    0.000    0.525    0.006 {built-in method builtins.__import__}
      200    0.014    0.000    0.427    0.002 renderer.py:94(renderVoronoi)
2356/1875    0.003    0.000    0.407    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      200    0.008    0.000    0.403    0.002 renderer.py:119(renderBorders)
        1    0.380    0.380    0.380    0.380 {built-in method pygame.base.init}
        1    0.200    0.200    0.350    0.350 {built-in method pygame.display.set_mode}
        1    0.000    0.000    0.264    0.264 __init__.py:21(<module>)
        1    0.000    0.000    0.263    0.263 model.py:1(<module>)
      514    0.007    0.000    0.252    0.000 <frozen importlib._bootstrap_external>:849(get_code)
        1    0.001    0.001    0.237    0.237 simulator.py:1(<module>)
      640    0.005    0.000    0.213    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.000    0.000    0.208    0.208 surfarray.py:21(<module>)
        1    0.000    0.000    0.207    0.207 _numpysurfarray.py:21(<module>)
      621    0.001    0.000    0.205    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
      621    0.003    0.000    0.204    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
     2445    0.201    0.000    0.201    0.000 {built-in method nt.stat}
      901    0.010    0.000    0.193    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
     2239    0.002    0.000    0.188    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      500    0.183    0.000    0.183    0.000 {method 'render' of 'pygame.font.Font' objects}
      514    0.009    0.000    0.154    0.000 <frozen importlib._bootstrap_external>:969(get_data)
      500    0.007    0.000    0.151    0.000 renderer.py:207(drawPixels)
        1    0.000    0.000    0.148    0.148 pkgdata.py:1(<module>)
        1    0.000    0.000    0.145    0.145 __init__.py:2(<module>)
        1    0.000    0.000    0.121    0.121 kdtree.py:3(<module>)
      514    0.120    0.000    0.120    0.000 {built-in method io.open_code}
      769    0.001    0.000    0.118    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      713    0.001    0.000    0.116    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
     2901    0.044    0.000    0.114    0.000 wrapper.py:687(wrapperCall)
      500    0.069    0.000    0.092    0.000 wrapper.py:877(wrapperCall)
  620/610    0.001    0.000    0.092    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      100    0.000    0.000    0.088    0.001 tempfile.py:295(mkstemp)
        1    0.000    0.000    0.087    0.087 base.py:1(<module>)
      100    0.002    0.000    0.085    0.001 tempfile.py:238(_mkstemp_inner)
        1    0.000    0.000    0.085    0.085 _numpy_compat.py:1(<module>)
        4    0.000    0.000    0.084    0.021 __init__.py:211(__getattr__)
      105    0.072    0.001    0.072    0.001 {built-in method nt.open}
    87/84    0.000    0.000    0.071    0.001 <frozen importlib._bootstrap_external>:1099(create_module)
    87/84    0.063    0.001    0.071    0.001 {built-in method _imp.create_dynamic}
      800    0.069    0.000    0.069    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.068    0.068 async_case.py:1(<module>)
    18965    0.013    0.000    0.066    0.000 wrapper.py:434(calculate_pyArgs)
      718    0.002    0.000    0.066    0.000 latebind.py:61(__call__)
      294    0.001    0.000    0.064    0.000 re.py:287(_compile)
       97    0.000    0.000    0.062    0.001 re.py:248(compile)
  959/948    0.017    0.000    0.062    0.000 {built-in method builtins.__build_class__}
      103    0.001    0.000    0.062    0.001 sre_compile.py:759(compile)
      514    0.001    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
      101    0.000    0.000    0.052    0.001 pkgdata.py:34(getResource)
